event_id,event_name,date,location
5efaaf313b652dd7,UFC Fight Night: Lopes vs. Silva,"September 13, 2025","San Antonio, Texas, USA"
6e380a4d73ab4f0e,UFC Fight Night: Imavov vs. Borralho,"September 06, 2025","Paris, Ile-de-France, France"
ed220e87bef0cc64,UFC Fight Night: Ulberg vs. Reyes,"September 27, 2025","Perth, Western Australia, Australia"
8944a0f9b2f0ce6d,UFC 320: Ankalaev vs. Pereira 2,"October 04, 2025","Las Vegas, Nevada, USA"
9336e86cfd4ceaa1,UFC Fight Night: Oliveira vs. Fiziev,"October 11, 2025","Rio de Janeiro, Rio de Janeiro, Brazil"
38e5d9dcb0fddc42,UFC Fight Night: De Ridder vs. Hernandez,"October 18, 2025","Vancouver, British Columbia, Canada"
7956f026e2672c47,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates"
8db1b36dde268ef6,UFC 322: Della Maddalena vs. Makhachev,"November 15, 2025","New York City, New York, USA"
